,"IR",,".IRAN, ISLAMIC REPUBLIC OF",,,,,,,,
,"IR","ABD","Abadan","Abadan",,"1--45---","AI","9601",,,
,"IR","ABR","Abhar","Abhar","19","-----6--","RL","1201",,"3608N 04913E",
,"IR","ACP","Sahand","Sahand",,"---4----","RQ","0907",,"3720N 04607E",
,"IR","ACZ","Zabol","Zabol",,"---4----","AI","0001",,,
,"IR","ADU","Ardabil","Ardabil",,"---4----","AI","0001",,,
,"IR","AEU","Abu Musa","Abu Musa","22","---4----","RL","0907",,"2554N 05459E",
,"IR","AFZ","Sabzevar National","Sabzevar National",,"---4----","RQ","0907",,"3610N 05735E",
,"IR","AHR","Ahar","Ahar","03","--3-----","RL","1101",,"3828N 04703E",
,"IR","AKW","Aghajari","Aghajari",,"---4----","RL","0907",,"3730N 04558E",
,"IR","AMD","Bandar Amirabad","Bandar Amirabad","21","123-56--","RL","0901",,"3647N 05321E",
,"IR","AMP","Amir Abad Pt","Amir Abad Pt","21","1-------","RL","0901",,"3605N 05222E",
,"IR","AMR","Amara","Amara",,"0-------","RQ","9012",,,
,"IR","ARA","Arak","Arak","00","--3-----","RL","0401",,"3405N 04941E",
,"IR","ASA","Asaluyeh","Asaluyeh","18","1-3-----","RL","0307",,"2728N 05236E",
,"IR","ASR","Astara","Astara",,"0-------","RQ","9506",,,
,"IR","AWZ","Ahwaz","Ahwaz",,"---4----","AI","9601",,,
,"IR","AZD","Yazd","Yazd",,"1--4----","AI","9601",,,
,"IR","BAH","Bandar Assaluyeh","Bandar Assaluyeh",,"1-------","RQ","0401",,,
,"IR","BAJ","Bajgiran","Bajgiran",,"----5---","AI","9805",,,
,"IR","BAM","Amirabad","Amirabad","06","1-------","RQ","0901",,"2651N 05422E",
,"IR","BAZ","Bandar-e Anzali","Bandar-e Anzali","01","1-------","RL","0212",,"3728N 04928E",
,"IR","BBL","Babolsar","Babolsar",,"---4----","AI","0001",,,
,"IR","BDH","Bandar-e Lengeh","Bandar-e Lengeh","22","---4----","AI","0212",,"2633N 05453E",
,"IR","BIK","Imam Khomeini Pt/ Mahshahr City","Imam Khomeini Pt/ Mahshahr City","10","1-------","RL","0901",,"3025N 04904E",
,"IR","BJB","Bojnurd","Bojnurd",,"---4----","AI","0212",,"3729N 05719E",
,"IR","BKK","Bandar-e Emam Khomeyni","Bandar-e Emam Khomeyni",,"1----6--","RL","1201",,"3026N 04906E",
,"IR","BKM","Bandar Khomeini","Bandar Khomeini","06","1-34----","RL","0307","QBR","3026N 04906E",
,"IR","BMR","Bandar Mashur","Bandar Mashur","06","1-----7-","RL","0307",,"3033N 04911E","cf IR MRX"
,"IR","BND","Bandar Abbas","Bandar Abbas","22","1--4----","AI","1101",,"2711N 05616E",
,"IR","BNH","Baneh","Baneh","00","-----6--","RL","1201",,"3405N 04925E",
,"IR","BOR","Borazjan","Borazjan",,"-----6--","RL","1201",,"2915N 05112E",
,"IR","BPA","Bandare Parsian","Bandare Parsian","22","1-------","RL","2001",,"2710N 05254E",
,"IR","BRG","Bandar-e Gaz","Bandar-e Gaz",,"1-------","RL","0212",,"3647N 05357E",
,"IR","BRJ","Borujerd","Borujerd","15","--3-----","RL","1601",,"3352N 04850E",
,"IR","BSM","Bisheh Kola","Bisheh Kola",,"---4----","RQ","0907",,"3611N 05310E",
,"IR","BSR","Bandar Shahid Rajaee","Bandar Shahid Rajaee",,"1-------","RQ","0401",,,
,"IR","BUZ","Bushehr","Bushehr","18","1-34----","AI","1101",,"2858N 05050E",
,"IR","BXR","Bam","Bam",,"---4----","AI","0001",,,
,"IR","CI3","Chabahar","Chabahar","11","--3-----","RL","1601",,"2517N 06038E",
,"IR","CKT","Sarakhs","Sarakhs",,"---4----","AI","0001",,,
,"IR","CYT","Soroosh (Cyrus) Terminal","Soroosh (Cyrus) Terminal",,"1-------","RQ","1101",,"2902N 04928E",
,"IR","DAM","Damavand","Damavand",,"--3-----","RL","0212",,"3544N 05203E",
,"IR","DAY","Dayyer","Dayyer","18","1-------","AA","1901",,"2750N 05156E",
,"IR","DEF","Dezful","Dezful","06","---4----","RQ","0907",,"3225N 04813E",
,"IR","DEH","Dehbid","Dehbid","07","-----6--","RL","1201",,"3037N 05312E",
,"IR","DGN","Basargan","Basargan",,"0-------","RQ","9012",,,
,"IR","DJU","Jolfa","Jolfa","03","-23----B","RL","1207",,"3855N 04540E",
,"IR","DOG","Do Gharun","Do Gharun",,"--3-----","RL","0201",,"3443N 06056E",
,"IR","ESF","Esfahan","Esfahan",,"--3-----","RQ","9501",,,
,"IR","ESL","Eslamshahr","Eslamshahr","23","--3-----","RL","1607",,"3533N 05115E",
,"IR","FAZ","Fasa","Fasa","07","---4----","RQ","0907",,"2856N 05338E",
,"IR","FKR","Freidoon Kenar","Freidoon Kenar","21","1-------","RQ","0901",,"3642N 05233E",
,"IR","FR7","Fardis","Fardis","23","--3-----","RL","1601",,"3543N 05059E",
,"IR","GBT","Gorgan","Gorgan","27","---4----","RQ","0907",,"3654N 05424E",
,"IR","GCH","Gachsaran","Gachsaran","17","---4----","RQ","0907",,"3020N 05049E",
,"IR","GHA","Ghazvin (Qazwin)","Ghazvin (Qazwin)",,"0-------","RQ","9601",,,
,"IR","GNH","Ganaveh","Ganaveh",,"-----6--","RQ","1007",,"3027N 05050E",
,"IR","GSM","Gheshm","Gheshm",,"---4----","AI","0001",,,
,"IR","HDM","Hamadan","Hamadan",,"---4----","AI","0001",,,
,"IR","HDR","Havadarya","Havadarya","22","---4----","RQ","0907",,"4628N 02449E",
,"IR","HEJ","Henjam","Henjam",,"0-------","RQ","9506",,,
,"IR","HOR","Hormuz","Hormuz",,"0-------","RQ","9506",,,
,"IR","IAQ","Bahregan","Bahregan",,"---4----","AI","0001",,,
,"IR","IFH","Hesa","Hesa",,"---4----","RQ","0907",,"3255N 05133E",
,"IR","IFN","Isfahan","Isfahan",,"12-4----","AI","9601",,,
,"IR","IHR","Tilkuh (Iran Shahr)","Tilkuh (Iran Shahr)","12","---4----","RQ","0907",,"3457N 04640E",
,"IR","IIL","Ilam","Ilam",,"---4----","RQ","0907",,"3335N 04624E",
,"IR","IKA","Imam Khomeini International Apt/Tehran","Imam Khomeini International Apt/Tehran","23","---4----","AI","1101",,"3524N 05109E",
,"IR","IMH","Imam Hasan","Imam Hasan",,"1-------","RQ","9506",,,
,"IR","IQH","Islam Qal'eh","Islam Qal'eh",,"--3-----","RQ","0207",,,
,"IR","JAK","Jask","Jask",,"0-------","RQ","9506",,,
,"IR","JBD","Abadeh","Abadeh","07","-----6--","RL","1201",,"3002N 05232E",
,"IR","JRT","Jiroft","Jiroft","15","--3-----","RQ","0901",,"2840N 05743E",
,"IR","KAL","Kalaleh","Kalaleh",,"--3-----","RL","0901",,"3535N 05804E",
,"IR","KAS","Kashan","Kashan",,"1-------","QQ","8103",,,
"+","IR","KAV","Kuvei","Kuvei","22","1-3-----","AM","2207",,"2657N 05600E",
,"IR","KER","Kerman","Kerman",,"---4----","AI","9601",,,
,"IR","KHA","Khaneh","Khaneh",,"---4----","AI","0001",,,
,"IR","KHD","Khorramabad","Khorramabad",,"---4----","AI","0001",,,
,"IR","KHK","Khark Island","Khark Island",,"1--4----","AI","9601",,,
,"IR","KHO","Khorramshahr","Khorramshahr",,"1-------","QQ","8103",,,
,"IR","KHS","Khosravi","Khosravi",,"----5---","AI","9805",,,
,"IR","KHY","Khvoy","Khvoy","04","--3-----","RL","0501",,"3833N 04456E",
,"IR","KIH","Kish Island","Kish Island",,"---4----","AI","0001",,"2632N 05400E",
,"IR","KMS","Kermanshah","Kermanshah","21","--3-----","RL","0501",,"3118N 05452E",
,"IR","KNR","Kangan","Kangan",,"---4----","AI","0001",,,
,"IR","KOR","Khosrowshahr","Khosrowshahr",,"-----6--","RL","1107",,"3756N 04604E",
,"IR","KSH","Kermanshah (Bakhtaran)","Kermanshah (Bakhtaran)","05","123-----","RL","0501",,"3418N 04703E",
,"IR","LEH","Ali Shah Avaz","Ali Shah Avaz","23","-----6--","RL","1701",,"3539N 05103E",
,"IR","LFM","Lamerd","Lamerd","07","---4----","RQ","0907",,"2722N 05311E",
,"IR","LIN","Lingah","Lingah",,"1-------","RQ","9506",,,
,"IR","LRR","Lar","Lar",,"---4----","AI","0001",,,
,"IR","LVP","Lavan","Lavan",,"1--4----","AI","9601",,,
,"IR","MEB","Meybod","Meybod","21","--3-----","RL","1207",,"3213N 05400E",
,"IR","MHD","Mashad","Mashad",,"---4----","AI","9601",,,
,"IR","MLK","Malekan","Malekan",,"-----6--","RL","1201",,"3437N 05106E",
,"IR","MMH","Mazandaran Mahalleh","Mazandaran Mahalleh","19","--3-----","RL","1207",,"3707N 05014E",
,"IR","MRX","Bandar-e Mï¿½h Shahr","Bandar-e Mah Shahr","06","1234----","RL","0507",,"3032N 04910E",
,"IR","NEK","Bandar Neka","Bandar Neka",,"1-3-56--","RL","0901",,"3652N 05332E",
,"IR","NKA","Neka","Neka","21","1-------","RQ","0901",,"3650N 05316E",
,"IR","NKW","Nakhjavï¿½n Tappeh","Nakhjavan Tappeh",,"--3-----","RL","0307",,"3743N 04506E",
,"IR","NSB","Neyshabur","Neyshabur","09","--3-----","RL","1707",,"3612N 05847E",
,"IR","NSH","Now Shahr","Now Shahr",,"1-------","RQ","9506",,,
,"IR","NUJ","Nojeh","Nojeh",,"---4----","RQ","0907",,"4558N 03829E",
,"IR","OMH","Urmieh","Urmieh",,"---4----","AI","0607",,"3733N 04506E",
,"IR","OMI","Omidiyeh","Omidiyeh","06","---4----","RQ","0907",,"3050N 04932E",
,"IR","OSM","Mosul","Mosul",,"0-------","RQ","9012",,,
,"IR","PFQ","Parsabad","Parsabad",,"---4----","RQ","0907",,"3939N 04754E",
,"IR","PGU","Asaloyeh","Asaloyeh",,"---4----","RQ","0907",,"2729N 05237E",
,"IR","PSR","Piran Shahr","Piran Shahr",,"-----6--","RQ","1007",,"3641N 04508E",
,"IR","PYK","Payam Apt","Payam Apt",,"--345---","RL","0601",,"3547N 05049E",
,"IR","QAZ","Qazvin","Qazvin","19","--3-----","RL","0401",,"3616N 05000E",
,"IR","QHK","Shahre Kord","Shahre Kord",,"---4----","RQ","0907",,"3217N 05050E",
,"IR","QKC","Karaj","Karaj","07","---4----","AI","1307",,"3549N 05100E",
,"IR","QMJ","Masjed Soleyman","Masjed Soleyman",,"---4----","RQ","0901",,"3208N 04916E",
,"IR","QSH","Qeshm island","Qeshm island",,"--3-----","RQ","9705",,,
,"IR","QSM","Qeshm","Qeshm",,"--3-----","RL","9805",,,
,"IR","QUM","Qum","Qum","25","--34----","AI","0401",,"3438N 05053E",
,"IR","QYS","Yasouj","Yasouj","17","---4----","RQ","0907",,"3042N 05132E",
,"IR","RAS","Rasht","Rasht",,"---4----","AI","0001",,,
,"IR","RBA","Ras Bahrgan","Ras Bahrgan",,"1-------","QQ","8103",,,
,"IR","RJN","Rafsanjan","Rafsanjan",,"---4----","AI","0001",,,
,"IR","RTM","Ratawi","Ratawi",,"0-------","RQ","9012",,,
,"IR","RZR","Ramsar","Ramsar",,"---4----","AI","0001",,,
,"IR","SAB","Sabzevar","Sabzevar","30","--3-----","RL","0901",,"3613N 05741E",
,"IR","SAN","Sahlan","Sahlan",,"--3-----","RQ","0006",,,
,"IR","SAZ","Sabzevar","Sabzevar","15","--3-----","RL","1207",,"3330N 04802E",
,"IR","SBR","Shahid Bahonar","Shahid Bahonar","23","1-------","RQ","0901",,"2708N 05612E",
,"IR","SDG","Sanandaj","Sanandaj",,"---4----","AI","0001",,,
,"IR","SEK","Shahr-e Kord","Shahr-e Kord","14","--3-----","RL","0501","QHK","3219N 05051E",
,"IR","SEM","Semnan","Semnan","20","--3-----","RL","0401",,"3534N 05323E",
,"IR","SFN","Salafchegan","Salafchegan","00","--3-----","RL","1707",,"3428N 05027E",
,"IR","SHA","Shahrud","Shahrud","12","--3-----","RL","0901",,"3625N 05501E",
,"IR","SHS","Shahriar","Shahriar",,"-----6--","RL","1107",,"0511S 11923E",
,"IR","SIX","Sari","Sari",,"1-------","QQ","8103",,,
,"IR","SMW","Samawa","Samawa",,"0-------","RQ","9012",,,
,"IR","SRA","Sarooj Anchorage","Sarooj Anchorage",,"1-------","RQ","0401",,"2744N 05209E",
,"IR","SRJ","Sirjan","Sirjan",,"--3-----","RQ","9705","SYJ",,
,"IR","SRP","Shahid Rajaee Pt/Bandar Abbas","Shahid Rajaee Pt/Bandar Abbas","23","1-------","RL","0901",,"2707N 05604E",
,"IR","SRY","Sary","Sary",,"---4----","AI","0001",,,
,"IR","SVH","Saveh","Saveh","00","--3-----","RL","1207",,"3500N 05022E",
,"IR","SXI","Sirri Island","Sirri Island",,"1--4----","AI","9601",,,
,"IR","SYZ","Shiraz","Shiraz",,"1--4----","AI","9601",,,
,"IR","TAJ","Tajabad","Tajabad",,"----5---","AI","9805",,,
,"IR","TBZ","Tabriz","Tabriz",,"1--4----","AI","9601",,,
,"IR","TCX","Tabas","Tabas",,"---4----","AI","0001",,,
,"IR","TEW","Tohid","Tohid",,"---4----","RQ","0907",,"2749N 05221E",
,"IR","THR","Tehran","Tehran","23","---45---","AI","1601",,"3540N 05125E",
,"IR","TMB","Tombak","Tombak","18","1-3-----","RL","0401",,"2743N 05210E",
,"IR","UIM","Urmia","Urmia","24","--3-----","RL","1601",,"3733N 04504E",
,"IR","UZA","Al Uzsayr","Al Uzsayr",,"0-------","RQ","9012",,,
,"IR","WPS","Persepolis","Persepolis",,"---4----","AI","0001",,,
,"IR","XBJ","Birjand","Birjand",,"---4----","AI","0001",,,
,"IR","YAS","Yasuj","Yasuj",,"--3-----","RL","0601",,"3039N 05135E",
,"IR","ZAH","Zahedan","Zahedan",,"---4----","AI","9601",,,
,"IR","ZAN","Zanjan","Zanjan",,"-2345-7-","RL","0307",,"3640N 04828E",
,"IR","ZBR","Chah Bahar","Chah Bahar",,"1--4----","AI","0212",,,
,"IR","ZVI","Zarand","Zarand","08","---4----","RL","0907",,"3049N 05624E",
